,train,val,test
test_034,True,False,False
test_035,True,False,False
test_036,True,False,False
test_037,True,False,False
test_039,True,False,False
normal_093,True,False,False
test_042,True,False,False
test_043,True,False,False
test_044,True,False,False
test_045,True,False,False
test_047,True,False,False
test_050,True,False,False
normal_038,True,False,False
test_053,True,False,False
test_054,True,False,False
test_056,True,False,False
test_057,True,False,False
test_058,True,False,False
test_059,True,False,False
test_060,True,False,False
test_063,True,False,False
test_067,True,False,False
test_070,True,False,False
test_072,True,False,False
test_076,True,False,False
test_077,True,False,False
test_080,True,False,False
test_081,True,False,False
normal_087,True,False,False
test_083,True,False,False
test_085,True,False,False
test_086,True,False,False
test_087,True,False,False
test_088,True,False,False
test_089,True,False,False
test_091,True,False,False
test_093,True,False,False
test_095,True,False,False
test_098,True,False,False
test_100,True,False,False
test_101,True,False,False
normal_120,True,False,False
test_103,True,False,False
test_106,True,False,False
test_107,True,False,False
test_109,True,False,False
test_111,True,False,False
test_115,True,False,False
test_118,True,False,False
test_119,True,False,False
test_120,True,False,False
test_123,True,False,False
test_124,True,False,False
test_125,True,False,False
test_126,True,False,False
test_127,True,False,False
test_128,True,False,False
test_129,True,False,False
patient_000_node_0,True,False,False
normal_054,True,False,False
normal_117,True,False,False
patient_000_node_1,True,False,False
patient_000_node_2,True,False,False
patient_000_node_3,True,False,False
patient_000_node_4,True,False,False
patient_001_node_0,True,False,False
patient_001_node_2,True,False,False
patient_001_node_3,True,False,False
patient_002_node_1,True,False,False
patient_002_node_3,True,False,False
patient_002_node_4,True,False,False
patient_003_node_0,True,False,False
patient_003_node_1,True,False,False
patient_003_node_2,True,False,False
patient_003_node_3,True,False,False
patient_003_node_4,True,False,False
patient_004_node_1,True,False,False
patient_004_node_2,True,False,False
patient_004_node_3,True,False,False
patient_005_node_0,True,False,False
normal_069,True,False,False
patient_005_node_1,True,False,False
patient_005_node_2,True,False,False
patient_006_node_0,True,False,False
patient_006_node_1,True,False,False
patient_006_node_3,True,False,False
patient_007_node_1,True,False,False
patient_007_node_2,True,False,False
patient_007_node_3,True,False,False
patient_008_node_1,True,False,False
patient_008_node_3,True,False,False
patient_009_node_2,True,False,False
patient_009_node_4,True,False,False
normal_041,True,False,False
patient_010_node_1,True,False,False
patient_010_node_2,True,False,False
patient_010_node_3,True,False,False
patient_011_node_2,True,False,False
patient_011_node_3,True,False,False
patient_011_node_4,True,False,False
patient_012_node_1,True,False,False
patient_012_node_2,True,False,False
patient_012_node_3,True,False,False
patient_012_node_4,True,False,False
patient_013_node_0,True,False,False
patient_013_node_1,True,False,False
patient_014_node_1,True,False,False
patient_015_node_0,True,False,False
patient_015_node_3,True,False,False
normal_123,True,False,False
normal_109,True,False,False
patient_018_node_0,True,False,False
patient_020_node_0,True,False,False
patient_020_node_3,True,False,False
normal_108,True,False,False
patient_022_node_2,True,False,False
patient_022_node_3,True,False,False
patient_023_node_1,True,False,False
patient_023_node_2,True,False,False
normal_157,True,False,False
patient_023_node_3,True,False,False
patient_023_node_4,True,False,False
patient_024_node_3,True,False,False
patient_025_node_0,True,False,False
patient_025_node_1,True,False,False
patient_025_node_2,True,False,False
patient_025_node_3,True,False,False
patient_027_node_1,True,False,False
patient_027_node_3,True,False,False
patient_028_node_4,True,False,False
patient_029_node_4,True,False,False
patient_030_node_0,True,False,False
normal_010,True,False,False
patient_030_node_2,True,False,False
patient_030_node_3,True,False,False
patient_031_node_0,True,False,False
patient_031_node_3,True,False,False
patient_031_node_4,True,False,False
patient_032_node_0,True,False,False
patient_032_node_3,True,False,False
patient_033_node_4,True,False,False
patient_034_node_4,True,False,False
patient_035_node_0,True,False,False
normal_003,True,False,False
patient_035_node_1,True,False,False
patient_035_node_3,True,False,False
patient_035_node_4,True,False,False
patient_036_node_0,True,False,False
patient_036_node_4,True,False,False
patient_037_node_0,True,False,False
patient_037_node_2,True,False,False
patient_037_node_3,True,False,False
patient_037_node_4,True,False,False
patient_038_node_1,True,False,False
patient_039_node_2,True,False,False
patient_039_node_3,True,False,False
patient_039_node_4,True,False,False
normal_147,True,False,False
patient_040_node_1,True,False,False
patient_040_node_3,True,False,False
patient_040_node_4,True,False,False
patient_041_node_1,True,False,False
patient_041_node_2,True,False,False
patient_041_node_3,True,False,False
patient_042_node_0,True,False,False
patient_042_node_4,True,False,False
patient_043_node_0,True,False,False
patient_043_node_1,True,False,False
patient_043_node_2,True,False,False
normal_132,True,False,False
patient_043_node_3,True,False,False
patient_043_node_4,True,False,False
patient_044_node_0,True,False,False
patient_044_node_1,True,False,False
patient_045_node_2,True,False,False
patient_046_node_0,True,False,False
patient_046_node_2,True,False,False
patient_047_node_0,True,False,False
patient_047_node_1,True,False,False
patient_047_node_4,True,False,False
patient_048_node_2,True,False,False
normal_024,True,False,False
patient_048_node_3,True,False,False
patient_048_node_4,True,False,False
patient_049_node_0,True,False,False
patient_049_node_3,True,False,False
patient_049_node_4,True,False,False
normal_154,True,False,False
patient_050_node_1,True,False,False
patient_051_node_3,True,False,False
normal_007,True,False,False
patient_052_node_4,True,False,False
patient_053_node_0,True,False,False
patient_053_node_1,True,False,False
patient_053_node_2,True,False,False
normal_008,True,False,False
patient_053_node_4,True,False,False
patient_054_node_0,True,False,False
patient_054_node_1,True,False,False
patient_054_node_2,True,False,False
patient_054_node_3,True,False,False
patient_054_node_4,True,False,False
patient_055_node_0,True,False,False
patient_055_node_3,True,False,False
patient_055_node_4,True,False,False
patient_056_node_0,True,False,False
patient_056_node_1,True,False,False
patient_056_node_2,True,False,False
patient_056_node_3,True,False,False
patient_056_node_4,True,False,False
normal_114,True,False,False
patient_057_node_1,True,False,False
patient_057_node_2,True,False,False
patient_057_node_3,True,False,False
patient_057_node_4,True,False,False
patient_058_node_0,True,False,False
patient_058_node_1,True,False,False
patient_058_node_2,True,False,False
patient_058_node_3,True,False,False
patient_058_node_4,True,False,False
patient_059_node_0,True,False,False
patient_059_node_1,True,False,False
patient_059_node_4,True,False,False
normal_090,True,False,False
patient_060_node_1,True,False,False
patient_060_node_2,True,False,False
patient_060_node_4,True,False,False
patient_061_node_0,True,False,False
patient_061_node_1,True,False,False
patient_061_node_2,True,False,False
patient_061_node_3,True,False,False
normal_050,True,False,False
patient_063_node_1,True,False,False
normal_017,True,False,False
patient_064_node_1,True,False,False
patient_064_node_2,True,False,False
patient_064_node_4,True,False,False
normal_156,True,False,False
patient_065_node_1,True,False,False
patient_065_node_2,True,False,False
patient_066_node_0,True,False,False
patient_066_node_1,True,False,False
patient_066_node_4,True,False,False
patient_067_node_0,True,False,False
patient_067_node_2,True,False,False
patient_068_node_0,True,False,False
patient_068_node_2,True,False,False
normal_081,True,False,False
patient_068_node_3,True,False,False
patient_070_node_0,True,False,False
normal_133,True,False,False
patient_070_node_2,True,False,False
patient_070_node_4,True,False,False
patient_071_node_0,True,False,False
patient_071_node_1,True,False,False
patient_071_node_2,True,False,False
patient_071_node_4,True,False,False
patient_072_node_3,True,False,False
patient_073_node_0,True,False,False
patient_073_node_2,True,False,False
patient_074_node_0,True,False,False
patient_074_node_1,True,False,False
patient_074_node_2,True,False,False
patient_074_node_3,True,False,False
patient_075_node_1,True,False,False
patient_075_node_2,True,False,False
patient_076_node_0,True,False,False
patient_077_node_0,True,False,False
patient_077_node_1,True,False,False
patient_077_node_3,True,False,False
patient_078_node_0,True,False,False
patient_078_node_2,True,False,False
patient_078_node_3,True,False,False
patient_078_node_4,True,False,False
patient_079_node_2,True,False,False
patient_079_node_3,True,False,False
normal_096,True,False,False
patient_081_node_0,True,False,False
patient_081_node_3,True,False,False
patient_082_node_1,True,False,False
patient_082_node_2,True,False,False
patient_082_node_3,True,False,False
patient_082_node_4,True,False,False
patient_083_node_0,True,False,False
patient_083_node_1,True,False,False
normal_078,True,False,False
patient_083_node_3,True,False,False
patient_084_node_0,True,False,False
patient_084_node_1,True,False,False
patient_084_node_4,True,False,False
patient_085_node_1,True,False,False
patient_085_node_2,True,False,False
patient_085_node_3,True,False,False
patient_085_node_4,True,False,False
patient_086_node_1,True,False,False
patient_086_node_2,True,False,False
patient_086_node_3,True,False,False
patient_087_node_2,True,False,False
patient_087_node_3,True,False,False
patient_087_node_4,True,False,False
patient_088_node_0,True,False,False
patient_088_node_2,True,False,False
patient_088_node_3,True,False,False
patient_089_node_1,True,False,False
patient_089_node_2,True,False,False
patient_090_node_0,True,False,False
normal_035,True,False,False
patient_090_node_1,True,False,False
patient_090_node_2,True,False,False
patient_090_node_3,True,False,False
patient_090_node_4,True,False,False
patient_091_node_0,True,False,False
patient_091_node_1,True,False,False
patient_092_node_2,True,False,False
patient_093_node_0,True,False,False
patient_093_node_1,True,False,False
patient_093_node_3,True,False,False
patient_094_node_3,True,False,False
patient_095_node_1,True,False,False
patient_095_node_2,True,False,False
patient_095_node_3,True,False,False
patient_095_node_4,True,False,False
patient_096_node_1,True,False,False
normal_118,True,False,False
patient_097_node_2,True,False,False
patient_098_node_0,True,False,False
patient_098_node_1,True,False,False
patient_098_node_2,True,False,False
patient_098_node_3,True,False,False
patient_098_node_4,True,False,False
patient_099_node_0,True,False,False
patient_099_node_1,True,False,False
patient_099_node_2,True,False,False
patient_099_node_3,True,False,False
tumor_050,True,False,False
tumor_008,True,False,False
tumor_040,True,False,False
tumor_006,True,False,False
tumor_001,True,False,False
tumor_002,True,False,False
tumor_037,True,False,False
tumor_090,True,False,False
tumor_033,True,False,False
tumor_095,True,False,False
tumor_009,True,False,False
tumor_089,True,False,False
tumor_079,True,False,False
tumor_027,True,False,False
tumor_003,True,False,False
tumor_022,True,False,False
tumor_068,True,False,False
tumor_039,True,False,False
tumor_010,True,False,False
tumor_077,True,False,False
tumor_047,True,False,False
tumor_031,True,False,False
tumor_085,True,False,False
tumor_088,True,False,False
tumor_029,True,False,False
tumor_030,True,False,False
tumor_062,True,False,False
tumor_043,True,False,False
tumor_102,True,False,False
tumor_093,True,False,False
tumor_104,True,False,False
tumor_057,True,False,False
tumor_100,True,False,False
tumor_013,True,False,False
tumor_015,True,False,False
tumor_086,True,False,False
tumor_070,True,False,False
tumor_084,True,False,False
tumor_046,True,False,False
tumor_058,True,False,False
tumor_034,True,False,False
tumor_054,True,False,False
tumor_073,True,False,False
tumor_075,True,False,False
tumor_017,True,False,False
tumor_101,True,False,False
tumor_026,True,False,False
tumor_111,True,False,False
tumor_041,True,False,False
tumor_094,True,False,False
tumor_110,True,False,False
tumor_028,True,False,False
tumor_109,True,False,False
tumor_007,True,False,False
tumor_071,True,False,False
tumor_092,True,False,False
tumor_049,True,False,False
test_001,True,False,False
test_002,True,False,False
test_004,True,False,False
test_008,True,False,False
tumor_042,True,False,False
test_011,True,False,False
test_013,True,False,False
test_016,True,False,False
tumor_063,True,False,False
test_021,True,False,False
test_026,True,False,False
test_027,True,False,False
test_029,True,False,False
test_030,True,False,False
test_033,True,False,False
test_038,True,False,False
test_040,True,False,False
test_046,True,False,False
test_048,True,False,False
test_051,True,False,False
test_052,True,False,False
test_061,True,False,False
tumor_019,True,False,False
test_064,True,False,False
test_068,True,False,False
test_069,True,False,False
test_071,True,False,False
test_073,True,False,False
test_074,True,False,False
test_079,True,False,False
test_082,True,False,False
test_090,True,False,False
test_092,True,False,False
test_097,True,False,False
test_099,True,False,False
test_102,True,False,False
test_105,True,False,False
test_108,True,False,False
test_113,True,False,False
test_114,True,False,False
test_116,True,False,False
test_121,True,False,False
tumor_035,True,False,False
test_122,True,False,False
tumor_091,True,False,False
patient_005_node_3,True,False,False
patient_005_node_4,True,False,False
patient_006_node_2,True,False,False
tumor_048,True,False,False
patient_007_node_4,True,False,False
patient_008_node_0,True,False,False
patient_009_node_0,True,False,False
patient_009_node_1,True,False,False
patient_010_node_0,True,False,False
patient_010_node_4,True,False,False
patient_011_node_0,True,False,False
tumor_032,True,False,False
patient_012_node_0,True,False,False
tumor_081,True,False,False
patient_013_node_3,True,False,False
patient_014_node_2,True,False,False
patient_014_node_4,True,False,False
tumor_097,True,False,False
patient_015_node_1,True,False,False
patient_015_node_4,True,False,False
patient_016_node_0,True,False,False
patient_016_node_1,True,False,False
patient_017_node_2,True,False,False
patient_017_node_3,True,False,False
patient_017_node_4,True,False,False
patient_018_node_1,True,False,False
tumor_074,True,False,False
patient_018_node_4,True,False,False
patient_019_node_0,True,False,False
patient_019_node_2,True,False,False
patient_019_node_3,True,False,False
patient_020_node_1,True,False,False
patient_020_node_2,True,False,False
patient_020_node_4,True,False,False
patient_021_node_0,True,False,False
patient_021_node_1,True,False,False
patient_021_node_3,True,False,False
patient_021_node_4,True,False,False
patient_022_node_0,True,False,False
patient_022_node_1,True,False,False
patient_022_node_4,True,False,False
patient_024_node_1,True,False,False
patient_024_node_2,True,False,False
patient_024_node_4,True,False,False
tumor_103,True,False,False
patient_026_node_0,True,False,False
patient_026_node_2,True,False,False
patient_026_node_3,True,False,False
patient_026_node_4,True,False,False
tumor_021,True,False,False
patient_027_node_0,True,False,False
patient_027_node_2,True,False,False
patient_027_node_4,True,False,False
patient_028_node_0,True,False,False
patient_028_node_1,True,False,False
patient_028_node_2,True,False,False
patient_028_node_3,True,False,False
patient_029_node_0,True,False,False
patient_029_node_1,True,False,False
patient_029_node_2,True,False,False
patient_029_node_3,True,False,False
patient_030_node_4,True,False,False
tumor_072,True,False,False
patient_032_node_1,True,False,False
patient_033_node_1,True,False,False
patient_033_node_2,True,False,False
tumor_060,True,False,False
patient_033_node_3,True,False,False
patient_034_node_3,True,False,False
patient_037_node_1,True,False,False
patient_038_node_0,True,False,False
patient_038_node_2,True,False,False
tumor_066,True,False,False
patient_038_node_4,True,False,False
patient_039_node_0,True,False,False
patient_039_node_1,True,False,False
patient_040_node_2,True,False,False
patient_041_node_0,True,False,False
tumor_005,True,False,False
patient_044_node_3,True,False,False
patient_044_node_4,True,False,False
patient_045_node_0,True,False,False
patient_045_node_3,True,False,False
patient_045_node_4,True,False,False
patient_046_node_3,True,False,False
tumor_023,True,False,False
patient_047_node_2,True,False,False
patient_048_node_0,True,False,False
patient_048_node_1,True,False,False
patient_049_node_1,True,False,False
patient_049_node_2,True,False,False
tumor_055,True,False,False
patient_050_node_4,True,False,False
patient_051_node_0,True,False,False
patient_051_node_1,True,False,False
patient_051_node_2,True,False,False
patient_051_node_4,True,False,False
patient_052_node_0,True,False,False
patient_052_node_1,True,False,False
patient_052_node_3,True,False,False
tumor_083,True,False,False
patient_060_node_0,True,False,False
patient_060_node_3,True,False,False
patient_062_node_0,True,False,False
patient_062_node_1,True,False,False
patient_062_node_2,True,False,False
patient_062_node_3,True,False,False
patient_063_node_0,True,False,False
patient_063_node_2,True,False,False
patient_063_node_3,True,False,False
patient_063_node_4,True,False,False
patient_065_node_0,True,False,False
patient_065_node_4,True,False,False
patient_066_node_2,True,False,False
patient_066_node_3,True,False,False
tumor_105,True,False,False
tumor_076,True,False,False
patient_067_node_3,True,False,False
patient_067_node_4,True,False,False
patient_068_node_4,True,False,False
patient_069_node_0,True,False,False
patient_069_node_1,True,False,False
patient_069_node_2,True,False,False
patient_070_node_3,True,False,False
patient_072_node_0,True,False,False
patient_072_node_1,True,False,False
patient_072_node_4,True,False,False
patient_073_node_1,True,False,False
patient_073_node_3,True,False,False
patient_075_node_4,True,False,False
patient_076_node_2,True,False,False
patient_076_node_3,True,False,False
tumor_069,True,False,False
patient_077_node_4,True,False,False
tumor_020,True,False,False
patient_080_node_0,True,False,False
patient_080_node_1,True,False,False
patient_080_node_2,True,False,False
patient_080_node_4,True,False,False
patient_081_node_1,True,False,False
patient_081_node_2,True,False,False
patient_081_node_4,True,False,False
tumor_036,True,False,False
tumor_108,True,False,False
patient_084_node_2,True,False,False
tumor_078,True,False,False
patient_086_node_0,True,False,False
patient_086_node_4,True,False,False
tumor_106,True,False,False
patient_087_node_0,True,False,False
patient_087_node_1,True,False,False
patient_088_node_1,True,False,False
tumor_107,True,False,False
patient_091_node_2,True,False,False
patient_091_node_3,True,False,False
patient_091_node_4,True,False,False
patient_092_node_0,True,False,False
patient_092_node_1,True,False,False
patient_092_node_4,True,False,False
tumor_016,True,False,False
patient_094_node_0,True,False,False
patient_094_node_1,True,False,False
patient_094_node_4,True,False,False
patient_095_node_0,True,False,False
patient_096_node_0,True,False,False
patient_096_node_2,True,False,False
patient_096_node_3,True,False,False
patient_096_node_4,True,False,False
patient_097_node_1,True,False,False
patient_097_node_3,True,False,False
patient_097_node_4,True,False,False
patient_099_node_4,True,False,False
test_019,False,True,False
patient_034_node_2,False,True,False
patient_041_node_4,False,True,False
normal_039,False,True,False
normal_098,False,True,False
patient_036_node_1,False,True,False
patient_032_node_2,False,True,False
patient_019_node_4,False,True,False
patient_001_node_1,False,True,False
patient_073_node_4,False,True,False
patient_062_node_4,False,True,False
patient_038_node_3,False,True,False
patient_089_node_4,False,True,False
patient_055_node_2,False,True,False
normal_150,False,True,False
test_055,False,True,False
normal_083,False,True,False
patient_011_node_1,False,True,False
patient_034_node_0,False,True,False
patient_007_node_0,False,True,False
normal_042,False,True,False
normal_146,False,True,False
normal_131,False,True,False
patient_079_node_1,False,True,False
normal_141,False,True,False
patient_069_node_4,False,True,False
patient_025_node_4,False,True,False
patient_033_node_0,False,True,False
normal_046,False,True,False
patient_059_node_3,False,True,False
patient_050_node_2,False,True,False
patient_079_node_0,False,True,False
patient_083_node_2,False,True,False
test_028,False,True,False
normal_110,False,True,False
test_041,False,True,False
patient_047_node_3,False,True,False
normal_153,False,True,False
normal_116,False,True,False
patient_014_node_0,False,True,False
test_078,False,True,False
patient_002_node_2,False,True,False
test_018,False,True,False
patient_083_node_4,False,True,False
patient_044_node_2,False,True,False
patient_082_node_0,False,True,False
patient_031_node_2,False,True,False
patient_031_node_1,False,True,False
normal_107,False,True,False
patient_075_node_3,False,True,False
patient_008_node_4,False,True,False
normal_027,False,True,False
test_009,False,True,False
patient_040_node_0,False,True,False
patient_024_node_0,False,True,False
normal_140,False,True,False
tumor_080,False,True,False
tumor_067,False,True,False
tumor_011,False,True,False
test_066,False,True,False
tumor_099,False,True,False
patient_006_node_4,False,True,False
tumor_061,False,True,False
test_075,False,True,False
tumor_038,False,True,False
test_010,False,True,False
patient_026_node_1,False,True,False
tumor_059,False,True,False
patient_052_node_2,False,True,False
patient_013_node_2,False,True,False
patient_061_node_4,False,True,False
tumor_087,False,True,False
patient_018_node_3,False,True,False
patient_089_node_3,False,True,False
test_104,False,True,False
patient_084_node_3,False,True,False
patient_064_node_3,False,True,False
patient_013_node_4,False,True,False
patient_018_node_2,False,True,False
tumor_082,False,True,False
tumor_024,False,True,False
patient_097_node_0,False,True,False
tumor_098,False,True,False
tumor_025,False,True,False
patient_069_node_3,False,True,False
tumor_052,False,True,False
patient_074_node_4,False,True,False
patient_080_node_3,False,True,False
patient_088_node_4,False,True,False
test_117,False,True,False
test_112,False,False,True
patient_001_node_4,False,False,True
test_130,False,False,True
patient_059_node_2,False,False,True
normal_095,False,False,True
patient_016_node_2,False,False,True
patient_067_node_1,False,False,True
patient_008_node_2,False,False,True
normal_128,False,False,True
patient_078_node_1,False,False,True
normal_072,False,False,True
normal_048,False,False,True
normal_130,False,False,True
patient_016_node_3,False,False,True
normal_014,False,False,True
patient_030_node_1,False,False,True
patient_042_node_2,False,False,True
patient_050_node_3,False,False,True
patient_079_node_4,False,False,True
patient_046_node_1,False,False,True
patient_002_node_0,False,False,True
patient_032_node_4,False,False,True
test_062,False,False,True
patient_053_node_3,False,False,True
patient_042_node_1,False,False,True
patient_085_node_0,False,False,True
patient_050_node_0,False,False,True
normal_074,False,False,True
test_096,False,False,True
normal_059,False,False,True
patient_089_node_0,False,False,True
normal_149,False,False,True
patient_004_node_0,False,False,True
patient_017_node_0,False,False,True
patient_034_node_1,False,False,True
patient_057_node_0,False,False,True
patient_009_node_3,False,False,True
normal_138,False,False,True
patient_070_node_1,False,False,True
normal_089,False,False,True
patient_035_node_2,False,False,True
patient_023_node_0,False,False,True
patient_055_node_1,False,False,True
normal_097,False,False,True
normal_012,False,False,True
patient_021_node_2,False,False,True
normal_016,False,False,True
patient_036_node_2,False,False,True
normal_015,False,False,True
patient_075_node_0,False,False,True
patient_093_node_2,False,False,True
patient_016_node_4,False,False,True
test_015,False,False,True
patient_071_node_3,False,False,True
normal_129,False,False,True
patient_065_node_3,False,False,True
patient_014_node_3,False,False,True
patient_046_node_4,False,False,True
patient_072_node_2,False,False,True
patient_092_node_3,False,False,True
patient_045_node_1,False,False,True
patient_093_node_4,False,False,True
patient_076_node_1,False,False,True
tumor_065,False,False,True
tumor_064,False,False,True
patient_015_node_2,False,False,True
tumor_045,False,False,True
test_110,False,False,True
patient_094_node_2,False,False,True
patient_077_node_2,False,False,True
tumor_051,False,False,True
patient_042_node_3,False,False,True
tumor_004,False,False,True
tumor_044,False,False,True
patient_017_node_1,False,False,True
patient_004_node_4,False,False,True
test_094,False,False,True
tumor_096,False,False,True
tumor_056,False,False,True
tumor_012,False,False,True
test_084,False,False,True
tumor_018,False,False,True
patient_076_node_4,False,False,True
patient_036_node_3,False,False,True
patient_068_node_1,False,False,True
test_065,False,False,True
patient_019_node_1,False,False,True
tumor_053,False,False,True
tumor_014,False,False,True
patient_064_node_0,False,False,True
